timestamp,zone_id,zone_type,month,day_of_week,hour,season,is_festival,festival_name,waste_generated_kg,fill_level
2023-01-01 06:00:00,1,commercial,1,6,6,winter,0,None,144.1,9.6
2023-01-01 06:00:00,2,residential,1,6,6,winter,0,None,76.3,5.1
2023-01-01 06:00:00,3,market,1,6,6,winter,0,None,176.8,11.8
2023-01-01 06:00:00,4,industrial,1,6,6,winter,0,None,66.7,4.4
2023-01-01 06:00:00,5,residential,1,6,6,winter,0,None,90.6,6.0
2023-01-01 06:00:00,6,commercial,1,6,6,winter,0,None,173.7,11.6
2023-01-01 12:00:00,1,commercial,1,6,12,winter,0,None,152.4,10.2
2023-01-01 12:00:00,2,residential,1,6,12,winter,0,None,51.8,3.5
2023-01-01 12:00:00,3,market,1,6,12,winter,0,None,182.1,12.1
2023-01-01 12:00:00,4,industrial,1,6,12,winter,0,None,62.4,4.2
2023-01-01 12:00:00,5,residential,1,6,12,winter,0,None,58.3,3.9
2023-01-01 12:00:00,6,commercial,1,6,12,winter,0,None,191.1,12.7
2023-01-01 18:00:00,1,commercial,1,6,18,winter,0,None,199.4,13.3
2023-01-01 18:00:00,2,residential,1,6,18,winter,0,None,106.5,7.1
2023-01-01 18:00:00,3,market,1,6,18,winter,0,None,216.3,14.4
2023-01-01 18:00:00,4,industrial,1,6,18,winter,0,None,80.3,5.4
2023-01-01 18:00:00,5,residential,1,6,18,winter,0,None,100.0,6.7
2023-01-01 18:00:00,6,commercial,1,6,18,winter,0,None,257.2,17.1
2023-01-01 22:00:00,1,commercial,1,6,22,winter,0,None,232.2,15.5
2023-01-01 22:00:00,2,residential,1,6,22,winter,0,None,57.0,3.8
2023-01-01 22:00:00,3,market,1,6,22,winter,0,None,285.9,19.1
2023-01-01 22:00:00,4,industrial,1,6,22,winter,0,None,67.2,4.5
2023-01-01 22:00:00,5,residential,1,6,22,winter,0,None,78.7,5.2
2023-01-01 22:00:00,6,commercial,1,6,22,winter,0,None,326.8,21.8
2023-01-02 06:00:00,1,commercial,1,0,6,winter,0,None,90.9,6.1
2023-01-02 06:00:00,2,residential,1,0,6,winter,0,None,83.9,5.6
2023-01-02 06:00:00,3,market,1,0,6,winter,0,None,154.9,10.3
2023-01-02 06:00:00,4,industrial,1,0,6,winter,0,None,138.9,9.3
2023-01-02 06:00:00,5,residential,1,0,6,winter,0,None,108.1,7.2
2023-01-02 06:00:00,6,commercial,1,0,6,winter,0,None,114.5,7.6
2023-01-02 12:00:00,1,commercial,1,0,12,winter,0,None,81.5,5.4
2023-01-02 12:00:00,2,residential,1,0,12,winter,0,None,63.0,4.2
2023-01-02 12:00:00,3,market,1,0,12,winter,0,None,203.2,13.5
2023-01-02 12:00:00,4,industrial,1,0,12,winter,0,None,99.5,6.6
2023-01-02 12:00:00,5,residential,1,0,12,winter,0,None,66.5,4.4
2023-01-02 12:00:00,6,commercial,1,0,12,winter,0,None,86.7,5.8
2023-01-02 18:00:00,1,commercial,1,0,18,winter,0,None,111.6,7.4
2023-01-02 18:00:00,2,residential,1,0,18,winter,0,None,105.1,7.0
2023-01-02 18:00:00,3,market,1,0,18,winter,0,None,232.1,15.5
2023-01-02 18:00:00,4,industrial,1,0,18,winter,0,None,206.8,13.8
